latitude,longitude,label
-32.932470316666667,-68.747205149999985,67
-34.627528560000009,-68.265472160000002,16
-29.165960299999998,-67.5,56
-33.035086499999998,-71.586350500000009,36
-33.302330400000002,-66.343417099999996,22
-33.05613738571428,-68.883826014285702,80
-31.549319983333334,-68.52702073333333,32
-30.30778025,-69.178035749999992,20
-33.75,-66.6513214,28
-31.654169100000001,-68.285278300000002,16
-33.622427950000002,-69.06339835,39
-30.2414761,-68.746696499999999,55
-35.327731549999996,-69.832102450000008,85
-33.474892133333334,-70.631420533333326,18
