latitude,longitude,label
-32.784054891666671,-60.776020975000002,12
-32.672401800000003,-59.595965525000004,4
-32.062629980000004,-61.565771560000009,5
-34.17243775,-61.096936499999998,4
-30.7099133,-62.004291500000001,1
-33.345964566666666,-60.195033066666667,6
-33.043851733333334,-60.615675974999995,12
-31.037433620000002,-61.56490329999999,5
-31.817323559999998,-58.370702659999992,5
-32.834977049999999,-61.191037725000001,4
-33.935491160000005,-60.104348719999997,5
-33.161391250000001,-62.177528375000001,4
-31.760270600000002,-60.804903999999993,4
-31.832151416666665,-60.51578838333333,6
-30.916136433333335,-60.132324233333328,3
