latitude,longitude,label
-40.103717799999998,-64.457939100000004,1
-34.868449200000001,-61.529090600000004,1
-35.0283826,-63.428235366666662,3
-36.615683750000002,-64.291885400000012,2
-36.03961378333333,-61.341602966666663,6
-37.8956594,-65.095779199999996,1
-38.894908899999997,-63.135452299999997,1
-38.604820250000003,-60.322395350000001,2
-35.654593500000004,-63.760252000000001,2
-37.181626957142853,-59.992436199999993,7
-38.472085579999998,-62.19959334,5
-35.728306099999998,-62.849632,2
-40.810748750000002,-62.993404949999999,2
-34.939138450000002,-64.30917740000001,2
