latitude,longitude,label
-27.42298555,-55.865368750000002,2
-26.9377146,-54.434213800000002,1
-27.914332399999999,-55.754922299999997,1
-25.288183199999999,-57.722820300000002,1
-25.556915099999998,-54.597632849999997,2
-25.880879100000001,-52.5369916,1
-27.486780199999998,-55.120332599999998,1
-28.046793300000001,-56.009618000000003,1
-25.971197100000001,-54.564151799999998,1
-26.5,-54.733333999999999,1
-25.266734,-57.56562495,2
-26.399919499999999,-54.626812000000001,1
-23.548943300000001,-46.638818200000003,1
